ID;contaminant;consistent_designation;carbon no (for hydrocarbon);sub-category;category
34;Carbon Dioxide;;;Carbon Dioxide;Other material
36;Carbon disulfide;;;Other material;Other material
37;Carbonyl sulfide;;;Other material;Other material
38;Cis-2-butene;Butene;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
39;Cis-butene-2;Butene;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
40;Cyclohexane;;;Hydrocarbons;VOCs, solvents & hydrocarbons
41;Cyclopentadiene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
42;Cyclopentane;;;Hydrocarbons;VOCs, solvents & hydrocarbons
43;Cyclopentene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
44;Dicyclopentadiene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
45;Dimethyl ether;;;Solvent;VOCs, solvents & hydrocarbons
46;Dodecene;CH_(CH_)_CH=CH_;;Hydrocarbons;VOCs, solvents & hydrocarbons
47;Ethane;;C2;Hydrocarbons;VOCs, solvents & hydrocarbons
48;Ethanol;;;Other material;Other material
49;Ethyl Benzene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
50;Ethyl Methyl Disulfide;;;Other material;Other material
51;Ethyl mercaptan;;;Organosulfur compounds;Other material
52;Ethylbenzene;;C8;Hydrocarbons;VOCs, solvents & hydrocarbons
53;Ethylene;Ethylene;C2;Hydrocarbons;VOCs, solvents & hydrocarbons
55;Ethylene (liquid);Ethylene;;Hydrocarbons;VOCs, solvents & hydrocarbons
56;Ethylene dichloride;;;Solvent;VOCs, solvents & hydrocarbons
57;Ethylene oxide;;;Other material;Other material
59;Ethyltoluene;;C9;Hydrocarbons;VOCs, solvents & hydrocarbons
68;Hexene;;C6;Hydrocarbons;VOCs, solvents & hydrocarbons
69;Hydrocarbons;;;Hydrocarbons;VOCs, solvents & hydrocarbons
70;Hydrofluoric acid;;;Chlorofluorocarbons;Other material
71;Hydrogen;;;Hydrogen;Other material
73;Hydrogen chloride;;;Other material;Other material
74;Hydrogen cyanide;;;Hydrogen cyanide;Other material
75;Isobutane;;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
76;Isobutene;;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
77;Isobutylene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
78;Isopentane;;C5;Hydrocarbons;VOCs, solvents & hydrocarbons
79;Isoprene;;C5;Hydrocarbons;VOCs, solvents & hydrocarbons
80;Mercury;;;Heavy metals;Other material
82;Methanol;;;Other material;Other material
83;Methyl Acetate;;;Other material;Other material
84;Methyl Acetylene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
85;Methyl acrylate;;;Other material;Other material
86;Methyl disulfide;;;Other material;Other material
87;Methyl formate;;;Solvent;VOCs, solvents & hydrocarbons
88;Methyl mercaptan;;;Organosulfur compounds;Other material
89;Methyl tert-butyl ether;;;Solvent;VOCs, solvents & hydrocarbons
90;Methylcyclohexane;;C6;Hydrocarbons;VOCs, solvents & hydrocarbons
91;Mineral Spirit;;;Mineral Spirit;Other material
103;Nonane;;C9;Hydrocarbons;VOCs, solvents & hydrocarbons
104;Nonene;;C9;Hydrocarbons;VOCs, solvents & hydrocarbons
107;Octene;;C8;Hydrocarbons;VOCs, solvents & hydrocarbons
108;Opacity;;;Opacity;Other material
109;Orthoxylene;Xylenes;C8;Hydrocarbons;VOCs, solvents & hydrocarbons
111;Other C5's +;;;Hydrocarbons;VOCs, solvents & hydrocarbons
113;Other material;;;Other material;Other material
118;Pentadiene;;C5;Hydrocarbons;VOCs, solvents & hydrocarbons
122;Pentene;;C5;Hydrocarbons;VOCs, solvents & hydrocarbons
123;Peroxide, organic;;;Propylene and propylene oxide;Propylene and propylene oxide
124;Propadiene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
125;Propane;;;Hydrocarbons;VOCs, solvents & hydrocarbons
126;Propane/Propylene Mix;;;Hydrocarbons;VOCs, solvents & hydrocarbons
127;Propylene;;;Propylene and propylene oxide;Propylene and propylene oxide
128;Propylene (Propene);;;Propylene and propylene oxide;Propylene and propylene oxide
129;Propylene oxide;;;Other material;Other material
130;Styrene;;C8;Hydrocarbons;VOCs, solvents & hydrocarbons
131;Sulfur dioxide;;;Sulfur dioxide;Sulfur dioxide
132;Toluene;;C7;Hydrocarbons;VOCs, solvents & hydrocarbons
133;Trans-2-butene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
134;Trans-butene-2;;;Hydrocarbons;VOCs, solvents & hydrocarbons
135;Trimethylbenzene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
136;Trimethylbenzene, 1,2,4-;;;Hydrocarbons;VOCs, solvents & hydrocarbons
137;Trimethylpentane, 2,2,4-;;;Hydrocarbons;VOCs, solvents & hydrocarbons
145;Vinyl Chloride;;;Other material;Other material
150;butenes;Butene;;Hydrocarbons;VOCs, solvents & hydrocarbons
151;decane-n;;C10;Hydrocarbons;VOCs, solvents & hydrocarbons
152;decene;;C10;Hydrocarbons;VOCs, solvents & hydrocarbons
153;ethylene glycol diacetate;;;Other material;Other material
154;i-butylcyclohexane;;C10;Hydrocarbons;VOCs, solvents & hydrocarbons
155;metaxylene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
157;paraxylene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
158;t-octene-2;;;Hydrocarbons;VOCs, solvents & hydrocarbons
159;tert-butyl alcohol;;;Solvent;VOCs, solvents & hydrocarbons
160;trans-2-hexene;;;Hydrocarbons;VOCs, solvents & hydrocarbons
